                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7755,                 1.7034,                 4.3889,                 1.2138,                 0.0081,                0.76062,                0.02805,                0.02237,                0.00799,                0.75662,                0.02797,                0.02213,                0.77929,                 1.4737,                 3.1824,                 1.2798,              0.0033274,              0.0033274,              0.0033274
                      2,                0.82175,                 1.4528,                 3.4748,                 1.2242,                0.38828,                0.16344,                0.08936,                0.06993,                0.38826,                0.16294,                0.08864,                0.06991,                0.85303,                  1.658,                 2.8083,                 1.3293,              0.0065948,              0.0065948,              0.0065948
                      3,                0.87216,                 1.5388,                 3.1367,                 1.2391,                0.24286,                0.16755,                0.09181,                0.07028,                0.24241,                0.16352,                0.09008,                0.06951,                0.97437,                  2.997,                 2.9591,                 1.4457,              0.0097962,              0.0097962,              0.0097962
                      4,                0.90015,                 1.5996,                 2.9891,                  1.248,                0.25969,                   0.25,                0.13569,                0.10913,                0.25751,                0.24425,                0.13468,                0.10744,                0.83889,                 1.6862,                 2.9398,                 1.3253,               0.009703,               0.009703,               0.009703
                      5,                0.88231,                 1.5708,                 2.8261,                 1.2367,                0.37326,                0.29251,                0.21463,                0.16872,                 0.3728,                 0.2919,                0.21346,                0.16657,                0.83114,                 1.5841,                 2.4116,                 1.2848,               0.009703,               0.009703,               0.009703
                      6,                0.84697,                  1.506,                 2.6553,                 1.2149,                0.37589,                0.27172,                0.20347,                 0.1661,                0.37635,                0.26923,                0.20223,                0.16383,                0.76619,                 1.5771,                 2.5623,                 1.2442,               0.009604,               0.009604,               0.009604
                      7,                0.83941,                  1.484,                 2.5177,                 1.2056,                0.28749,                0.36031,                0.28391,                0.23412,                0.28347,                0.35649,                0.28072,                0.23221,                0.74779,                 1.4404,                 2.1466,                  1.203,               0.009505,               0.009505,               0.009505
                      8,                 0.8185,                 1.4582,                 2.4269,                 1.1903,                0.36068,                0.36628,                0.30046,                0.25132,                0.36058,                0.36526,                0.30042,                0.24262,                0.75944,                  1.572,                 2.0957,                 1.2068,               0.009406,               0.009406,               0.009406
                      9,                0.80829,                 1.4282,                 2.3128,                 1.1804,                0.32449,                0.38633,                0.30888,                0.26343,                0.34844,                0.37355,                0.30841,                0.25943,                0.70896,                  1.368,                 2.0743,                 1.1552,               0.009307,               0.009307,               0.009307
                     10,                0.79406,                 1.4059,                 2.2351,                  1.171,                0.44001,                0.37606,                0.37111,                0.31995,                0.44015,                0.37537,                0.37045,                0.31538,                0.69499,                 1.4079,                 1.9218,                 1.1445,               0.009208,               0.009208,               0.009208
