                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64221,                 1.1504,                  1.404,                 1.0755,                0.55638,                0.61874,                 0.6214,                0.54868,                0.55058,                0.61538,                0.61529,                0.53753,                0.58451,                 1.1593,                 1.2673,                 1.0315,              0.0033274,              0.0033274,              0.0033274
                      2,                0.61514,                 1.1067,                 1.2945,                 1.0533,                0.54119,                 0.5777,                0.60117,                0.53154,                0.53959,                0.58037,                0.59846,                0.52162,                0.61289,                 1.1776,                 1.3254,                 1.0576,              0.0065948,              0.0065948,              0.0065948
                      3,                0.61607,                 1.0754,                 1.2837,                 1.0521,                0.51775,                0.54058,                0.53661,                0.46875,                0.52432,                0.53284,                 0.5327,                0.46002,                0.63897,                 1.3109,                 1.5326,                 1.0794,              0.0097962,              0.0097962,              0.0097962
                      4,                0.69762,                 1.2391,                 1.5743,                  1.103,                0.45874,                0.51694,                0.51958,                0.44497,                0.44342,                0.51404,                0.51529,                0.43422,                  0.668,                 1.2779,                 1.5601,                 1.0989,               0.009703,               0.009703,               0.009703
                      5,                0.69716,                 1.2314,                 1.5619,                 1.1028,                0.50044,                0.51179,                0.51378,                0.43911,                0.51223,                0.50635,                0.51043,                0.43559,                0.67794,                 1.2794,                 1.5856,                 1.1211,               0.009703,               0.009703,               0.009703
                      6,                0.68935,                 1.2146,                 1.5531,                 1.1007,                0.52393,                 0.5279,                0.54441,                0.47457,                 0.5224,                0.52616,                0.54138,                0.46627,                0.66088,                 1.2836,                 1.4666,                 1.1182,               0.009604,               0.009604,               0.009604
                      7,                0.69153,                  1.222,                  1.537,                 1.1028,                0.53202,                0.52393,                0.54675,                0.47792,                0.52794,                 0.5202,                0.54344,                0.46871,                0.64629,                 1.2588,                  1.456,                 1.0955,               0.009505,               0.009505,               0.009505
                      8,                0.69515,                 1.2282,                 1.5378,                 1.1003,                0.49904,                0.59613,                0.57911,                0.50759,                0.50961,                0.58914,                0.57847,                 0.4994,                0.62405,                 1.2142,                 1.4251,                 1.0659,               0.009406,               0.009406,               0.009406
                      9,                0.68979,                 1.2171,                 1.5133,                 1.0977,                0.52494,                0.55862,                0.56187,                0.49128,                0.52691,                0.55115,                0.55959,                0.48481,                0.63689,                 1.2277,                 1.4473,                 1.0869,               0.009307,               0.009307,               0.009307
                     10,                0.68431,                  1.197,                 1.5025,                  1.097,                0.57719,                0.52882,                0.54859,                0.47394,                0.57592,                0.52762,                0.54727,                0.46631,                0.65546,                 1.2747,                 1.4483,                 1.1067,               0.009208,               0.009208,               0.009208
                     11,                 0.6897,                 1.2097,                 1.5091,                 1.0966,                0.52647,                0.57449,                0.57276,                0.49848,                0.52589,                0.57095,                0.56937,                0.49026,                0.64886,                 1.2428,                 1.4096,                 1.0934,               0.009109,               0.009109,               0.009109
                     12,                0.68275,                 1.2068,                 1.4862,                 1.0905,                0.52293,                0.57073,                0.56988,                0.50139,                0.52133,                0.56932,                0.56819,                0.49424,                0.63892,                 1.2328,                 1.3953,                  1.097,                0.00901,                0.00901,                0.00901
